log_file	line
run_finalize_20260716_221052.log	Started: Thu Jul 16 22:10:52 CST 2026
run_finalize_20260716_221225.log	Started: Thu Jul 16 22:12:25 CST 2026
run_finalize_20260716_221225.log	Started: 2026-07-16T22:12:28.924316
run_finalize_20260716_221610.log	Started: Thu Jul 16 22:16:10 CST 2026
run_finalize_20260716_221610.log	Started: 2026-07-16T22:16:14.028661
run_finalize_20260716_222106.log	Started: Thu Jul 16 22:21:06 CST 2026
run_finalize_20260716_222106.log	Started: 2026-07-16T22:21:10.056177
run_finalize_20260716_222106.log	Finished: 2026-07-16T22:22:27.636473
run_finalize_20260716_222556.log	Started: Thu Jul 16 22:25:56 CST 2026
run_finalize_20260716_222556.log	Started: 2026-07-16T22:25:59.366350
run_finalize_20260716_222556.log	Finished: 2026-07-16T22:27:14.860781
run_finalize_20260716_222556.log	Finished: Thu Jul 16 22:27:15 CST 2026
run_fix_all_20260717_023223.log	Started: Fri Jul 17 02:32:23 CST 2026
run_fix_all_20260717_023438.log	Started: Fri Jul 17 02:34:38 CST 2026
run_fix_all_20260717_025158.log	Started: Fri Jul 17 02:51:58 CST 2026
run_fix_all_20260717_030311.log	Started: Fri Jul 17 03:03:11 CST 2026
run_fix_all_20260717_030311.log	[G10] PASS
run_fix_all_20260717_030311.log	Started: 2026-07-17T03:11:12.769492
run_g10_retry_20260716_215959.log	Started: Thu Jul 16 21:59:59 CST 2026
run_g10_retry_20260716_220442.log	Started: Thu Jul 16 22:04:42 CST 2026
run_g10_retry_20260716_220442.log	[G10] PASS
run_g10_retry_20260716_220442.log	Finished: Thu Jul 16 22:05:05 CST 2026
run_g7_g10_20260714_193003.log	Started: Tue Jul 14 19:30:03 CST 2026
run_g7_g10_20260714_195039.log	Started: Tue Jul 14 19:50:39 CST 2026
run_g7_g10_20260714_195039.log	[G7] Training reviewer seed 20260721...
run_g7_g10_20260714_195039.log	[G7] Training reviewer seed 20260722...
run_g7_g10_20260714_195039.log	[G7] Training reviewer seed 20260723...
run_g7_g10_20260714_195039.log	[G7] Training sealed evaluator seed 20260731...
run_g7_g10_20260714_195039.log	[G7] Training sealed evaluator seed 20260732...
run_g7_g10_20260714_195039.log	[G7] Training sealed evaluator seed 20260733...
run_g7_g10_20260714_195039.log	[G7] Running ensemble gate check...
run_g7_g10_20260714_195039.log	[G7] PASS
run_g7_g10_20260714_195039.log	[G8] Selecting parents...
run_g7_g10_20260714_195039.log	[G8] Running 4 methods...
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 1/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 17/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 33/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 49/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 65/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 81/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 97/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 113/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 129/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 145/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 161/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 177/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 193/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 209/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 225/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 241/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 257/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 273/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 289/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 305/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 321/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 337/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 353/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 369/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 385/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 401/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 417/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 433/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 449/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 465/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 481/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 497/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 513/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 529/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 545/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 561/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 577/600
run_g7_g10_20260714_195039.log	[G8 K562 primary_beam] parent 593/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 1/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 17/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 33/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 49/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 65/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 81/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 97/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 113/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 129/600
run_g7_g10_20260714_195039.log	[G8 K562 safeedit] parent 145/600
